NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.40653,0.24111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.18694,0.23235,0.3388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041367,0.041367,0.024804,0.16376,0.26091,NaN,NaN,0.28609,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,0,2.7756e-17,2.2204e-17,1.8504e-17,NaN,NaN,NaN,0.12806,0.15216,0.19067,NaN,0.15284,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,3.7007e-17,3.7007e-17,3.7007e-17,NaN,NaN,1.8504e-17,0.062214,0.1699,0.3021,0.28237,NaN,NaN,NaN,0.15348,0.12161,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0,NaN,NaN,NaN,NaN,0,NaN,NaN,0.23855,0.34564,NaN,NaN,NaN,0,0.006248,0.008331,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50381,0.2156,0.26127,NaN,NaN,NaN,0.10294,0.068252,0.00039375,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.0019769,NaN,0.26019,0.40877,NaN,0.43423,0.28367,NaN,NaN,0.21884,NaN,NaN,NaN,0.12418,0.076969,0.00039375,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.14665,0.24505,0.40788,0.42563,0.42844,0.36037,0.28367,NaN,NaN,3.7007e-17,NaN,NaN,NaN,NaN,0.1045,0.022701,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.39975,0.3772,0.39738,0.37505,NaN,NaN,0,NaN,0,NaN,NaN,NaN,0.19254,0.15292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.48771,0.50963,NaN,NaN,0.26752,NaN,NaN,NaN,0,NaN,0,NaN,NaN,NaN,NaN,0.19419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.57951,0.53185,NaN,NaN,0.40182,NaN,NaN,NaN,NaN,0.1457,NaN,NaN,NaN,NaN,0.28778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0.7519,0.70585,0.66085,0.67496,0.56296,0.59451,0.45959,0.42772,0.23227,NaN,0.34298,0.38332,0.51316,0.3651,0.31268,0.19757,0.089677,0.014285,0.11318,0.19547,0.4212,0.38723,NaN,NaN,0
0.52308,0.55839,0.5776,0.59738,0.49265,0.49527,0.40664,0.35987,0.2859,0.23058,0.42103,0.40975,0.46633,0.30943,0.31184,0.20743,0.13605,0.012244,0.11318,NaN,NaN,NaN,NaN,NaN,0
0.32949,0.38818,NaN,NaN,0.35897,0.30065,0.20903,0.25178,0.21301,0.23696,0.30426,0.38529,0.41143,0.22796,0.27073,0.27865,0.31612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
