NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.9654,-1.422,-2.9101,0.9325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9338,2.6695,2.9941,-2.4143,-1.2468,-1.3196,0.08728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.0112,-2.9563,-2.3959,-0.498,-0.72228,0.10531,2.9971,2.6642,NaN,NaN,-0.89066,NaN,-0.75741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,-0.78786,-1.8425,-1.1167,-1.4832,NaN,-2.2231,-3.0002,NaN,1.0895,-0.18907,-0.60546,-2.1099,-1.9936,-1.208,NaN,NaN,1.025,1.5151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,2.6627,-2.9819,NaN,NaN,NaN,NaN,NaN,-0.4254,NaN,1.5929,0.89175,-0.2242,-0.44834,-1.3436,-1.3628,-1.1321,NaN,NaN,1.9546,1.6131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,-2.7047,NaN,NaN,NaN,NaN,-2.2053,-1.3745,-0.11165,0.063224,0.76832,0.78927,-0.0043118,-0.74099,-1.0722,-1.3226,-0.73895,-0.81634,NaN,NaN,NaN,0.91297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,-1.9333,NaN,NaN,-0.22226,-0.15054,1.0889,-0.19141,0.80992,NaN,0.6273,0.54448,0.17528,0.47962,NaN,-2.1587,-1.5323,-1.4974,-1.758,NaN,0.21014,-0.09241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,-1.7149,-0.83946,NaN,NaN,1.0212,0.47085,NaN,-1.1198,0.20273,1.6265,1.126,2.2767,NaN,-2.0959,-1.6748,-1.3242,-2.796,2.9187,NaN,-0.62177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,-1.9217,-1.6727,-2.108,1.2287,NaN,NaN,NaN,2.2992,2.2668,2.6366,1.4917,0.93673,NaN,NaN,-1.6953,NaN,NaN,2.7106,-1.8708,-1.8536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,-2.5368,-2.4331,NaN,2.7135,2.8085,2.3237,1.5762,1.667,1.9803,2.7364,NaN,-2.7613,NaN,NaN,NaN,-1.6869,NaN,-0.60171,-2.1032,-2.7221,-3.083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,-2.1707,-2.1298,-2.814,NaN,NaN,NaN,2.1293,1.4378,1.4787,1.7,2.1435,NaN,NaN,0.53456,NaN,NaN,-0.36723,-0.51099,NaN,-1.6415,-2.2407,-2.8407,2.0713,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,-2.0831,NaN,2.7762,3.074,NaN,NaN,NaN,1.3161,1.128,1.6164,NaN,NaN,NaN,1.29,1.8766,NaN,NaN,1.0276,NaN,NaN,-1.7421,-2.0587,3.1298,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,-1.9518,-1.6354,NaN,NaN,NaN,2.0752,0.74441,1.5905,0.74018,1.6419,1.2059,2.5495,NaN,0.87891,1.4139,0.79325,NaN,NaN,-0.16632,-0.73364,-1.3913,-2.6546,-2.6895,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,-2.6267,NaN,NaN,NaN,0.6916,1.3772,0.73497,1.8685,NaN,NaN,1.8863,1.2636,1.6272,NaN,3.0572,1.1702,-0.95554,-1.0519,2.8965,2.8687,-2.5855,2.7824,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,1.8353,2.6935,2.2605,2.9495,2.0623,1.3527,1.8745,2.1871,2.8525,NaN,1.1403,1.4824,1.104,NaN,1.7389,1.51,NaN,1.6682,1.9658,0.25649,NaN,0.3742,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,2.42,-3.0608,2.1712,2.2131,NaN,NaN,2.3469,1.6051,NaN,NaN,NaN,-2.9379,2.703,2.8564,NaN,2.1699,1.5602,0.22964,1.0613,NaN,1.4045,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,3.0885,2.9636,NaN,NaN,2.3279,2.3352,NaN,NaN,NaN,0.90005,NaN,NaN,1.7009,1.798,1.8755,1.686,-0.50332,0.96893,NaN,1.5716,-1.9576,NaN,1.2849,NaN,NaN,0
NaN,NaN,NaN,3.0675,NaN,-2.8902,-2.8902,NaN,2.0602,NaN,NaN,NaN,2.2431,NaN,NaN,NaN,-1.5052,-2.7706,-2.2995,1.2174,0.677,-0.48381,-0.6093,-0.16002,-3.0209,-2.7094,-3.1188,1.0327,0.81815,NaN,0
NaN,NaN,-2.3829,3.0675,NaN,NaN,-2.034,NaN,1.6453,1.436,2.1719,1.5735,1.771,NaN,NaN,0.8497,0.63485,0.43559,NaN,0.71155,0.30601,-0.19412,-0.65583,-0.065461,-2.5804,-2.8976,-2.3132,0.83853,NaN,NaN,0
NaN,-1.5397,NaN,NaN,NaN,0.55102,NaN,NaN,2.9553,NaN,NaN,NaN,1.5914,1.2405,1.262,0.58676,0.4871,0.22621,-0.16552,0.8146,-0.19553,-0.53163,-1.0373,-0.27284,2.336,2.5895,-2.238,-0.51274,-0.016015,0.41722,0
2.6209,NaN,NaN,NaN,1.565,NaN,NaN,NaN,NaN,0.077003,NaN,NaN,NaN,1.3395,NaN,NaN,NaN,NaN,NaN,3.057,-0.5096,0.17551,NaN,NaN,2.0833,-3.1057,-1.9398,-1.3763,0.056027,0.77132,0
2.8886,NaN,-2.9758,2.3769,NaN,NaN,NaN,NaN,NaN,NaN,0.30437,1.1666,1.6895,1.5752,1.2175,-0.61401,0.57893,0.69187,2.1902,-2.7211,-2.1683,-1.4322,0.21697,0.72613,0.3705,-1.1105,NaN,-1.3389,-0.40421,0.26307,0
NaN,-3.0864,-2.9758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.69187,1.6088,2.735,-2.7948,-0.57908,NaN,0.45591,-0.33457,-1.2517,-1.401,-1.6871,-0.43971,NaN,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1416,3.1416
