NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32645,0.25878,0,0.21135,0.26161,0.38983,0.32521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.42267,0.31556,NaN,NaN,NaN,0.29752,0.2394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,5.5511e-17,0.014135,0.018848,0.018848,0,0.34377,0.60519,0.74379,0.57582,0.4697,NaN,NaN,NaN,0.16302,0.16302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.47568,0.37785,0.25262,5.5511e-17,NaN,NaN,NaN,NaN,NaN,0.51878,0.72027,0.61977,0.42948,0.17529,0.11594,NaN,NaN,0.11113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.47568,0.31227,NaN,NaN,NaN,NaN,NaN,0.19338,0.30767,0.50706,0.58428,0.57346,0.40426,0.31668,NaN,NaN,NaN,0.15134,0.15134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.30049,0.15426,NaN,NaN,0.24667,NaN,0.25487,0.3312,0.32795,NaN,0.28355,0.24268,0.36385,0.47502,NaN,0.2354,0.1258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,0.36509,0.46676,0.51565,0.54679,0.46967,0.30142,0.16523,NaN,0.19238,NaN,0.30696,0.33563,0.27709,NaN,0.1023,0.068282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0.37896,0.46848,0.49751,0.47805,0.49094,NaN,0.321,0.20642,NaN,0.11855,0.098742,NaN,0.32199,0.32186,0.26907,0.18618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.32084,0.35801,NaN,NaN,0.37807,0.42213,0.45092,0.32627,0.21167,NaN,0.071584,0.059554,NaN,NaN,NaN,NaN,0.24535,NaN,0.0056221,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.40915,0.22103,NaN,NaN,NaN,0.34648,0.24652,0.27369,0.34391,0.34375,0.23392,NaN,0.17286,NaN,0.19653,NaN,NaN,NaN,0.38142,0.21935,0.11159,0.070516,NaN,NaN,NaN,NaN,NaN,0
NaN,0.52452,NaN,NaN,NaN,NaN,NaN,0.25004,0.21347,NaN,0.28268,0.28325,NaN,0.11781,0.18343,0.24207,0.25058,NaN,NaN,0.39284,NaN,0.27432,NaN,0.34171,NaN,NaN,NaN,NaN,NaN,0
0.52539,NaN,NaN,NaN,NaN,0.23198,0.19117,0.2774,NaN,0.35194,0.30689,0.32753,0.14014,0.11781,0.14168,0.23409,0.2021,NaN,NaN,0.3048,NaN,NaN,0.36475,NaN,0.27239,NaN,NaN,NaN,NaN,0
NaN,0.37744,0.14753,NaN,NaN,0.13082,0.11778,0.24766,NaN,0.49751,0.36858,NaN,NaN,0.026349,0.075,0.10831,0.12202,0.087558,NaN,0.092705,NaN,NaN,0.44326,0.36886,0.27898,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.30388,0.28882,0.33982,0.28067,NaN,0.34628,0.45932,0.38555,NaN,NaN,NaN,0,0.088264,0.16225,0.186,0.18007,0.14414,NaN,NaN,NaN,0.35404,0.28805,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.19607,0.25217,0.25061,NaN,NaN,0.56636,0.41448,NaN,NaN,NaN,NaN,NaN,0.16111,0.2406,NaN,0.40519,NaN,NaN,NaN,0.50756,0.37039,0.26522,NaN,NaN,NaN,0
NaN,NaN,NaN,0.17236,0.21873,NaN,NaN,NaN,NaN,0.35018,NaN,0.22151,2.7756e-17,0,NaN,NaN,0.10925,0.22344,0.48125,0.66917,0.61459,NaN,NaN,NaN,0.35534,0.30344,NaN,NaN,NaN,0
NaN,NaN,NaN,0.12892,0.025467,0.071439,NaN,NaN,0.4348,0.34643,NaN,NaN,NaN,0,0,0.14842,0.17762,0.29005,NaN,0.58958,0.51814,0.43753,0.25827,NaN,0.30656,0.3057,NaN,NaN,NaN,0
NaN,NaN,0.19591,NaN,0.030565,NaN,0.2809,NaN,0.43465,NaN,0.28706,NaN,NaN,NaN,NaN,NaN,0.20788,0.3489,0.44918,0.54348,0.52543,0.4103,0.33786,0.28722,NaN,0.39134,0.4497,NaN,NaN,0
NaN,0.22445,NaN,0.22445,NaN,NaN,0.36532,0.29033,0.44659,0.28436,NaN,0.094359,0.095849,0.096786,0.0024154,0.25375,NaN,NaN,0.38304,0.41156,0.43526,0.35348,0.36929,0.41035,0.52165,0.54039,0.5512,NaN,NaN,0
NaN,0.29419,NaN,NaN,NaN,NaN,NaN,NaN,0.39484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22684,0.25408,NaN,NaN,NaN,0.49664,0.40012,0.53828,0.57183,0.67633,0.69726,NaN,0
