NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.1233,-3.0329,-2.1176,-1.2744,-2.7575,-2.908,-3.1408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1309,-2.8414,-2.1154,NaN,NaN,-2.7151,-2.8825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.65305,1.2953,-3.1312,-2.929,2.6549,2.3215,-2.9793,-2.5443,NaN,NaN,NaN,2.8378,2.8378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.6105,-0.27597,-1.2064,-2.2946,NaN,NaN,NaN,NaN,1.0114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.4778,-1.7996,-1.3938,-1.9578,-2.1536,-2.5326,NaN,NaN,NaN,1.984,1.984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.93882,-1.5759,-1.2776,-2.336,-0.23238,NaN,0.70588,NaN,3.083,NaN,NaN,3.0114,1.078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,2.2164,2.2974,-0.39509,-0.49582,-1.1374,2.8557,2.8128,NaN,1.1702,1.5572,NaN,-2.5198,-2.5355,NaN,1.2075,0.71579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,1.8867,-0.24871,NaN,0.3813,NaN,2.4616,2.6956,NaN,NaN,1.2992,NaN,NaN,-2.4306,NaN,0.72234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,2.2039,1.9956,NaN,NaN,1.2435,1.7917,NaN,-2.5357,NaN,NaN,1.4568,NaN,NaN,NaN,NaN,NaN,3.018,NaN,2.6865,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,-2.1274,-2.7911,NaN,NaN,NaN,-0.94285,0.79571,-2.3198,-1.247,-1.1386,NaN,NaN,1.5317,1.5834,1.9496,NaN,NaN,NaN,2.7153,NaN,NaN,3.0885,NaN,NaN,NaN,NaN,NaN,0
NaN,-0.58037,-2.3729,NaN,NaN,NaN,-1.3378,-0.90178,1.1245,NaN,-0.19733,0.21603,2.2339,NaN,NaN,2.0924,2.1342,NaN,NaN,2.6645,NaN,-1.1881,NaN,-1.9775,NaN,NaN,NaN,NaN,NaN,0
0.011163,-0.15339,NaN,NaN,NaN,-1.5876,-1.8588,-1.7008,NaN,0.09122,-0.026212,0.06406,3.0861,1.9271,NaN,2.2762,2.5199,NaN,NaN,2.1274,NaN,-1.2135,-0.78075,NaN,2.7731,NaN,NaN,NaN,NaN,0
NaN,0.54679,0.63115,NaN,NaN,-1.7321,2.8689,2.4391,NaN,1.0146,2.5779,NaN,NaN,2.8419,-2.3413,1.5532,-1.6331,NaN,NaN,1.8041,NaN,NaN,-0.097287,2.3423,1.6344,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,-0.52254,-1.9378,2.3497,NaN,1.9814,-1.6801,-1.9643,NaN,NaN,NaN,-0.97059,-0.17386,-0.61704,-0.69267,NaN,1.8919,NaN,NaN,NaN,1.6421,0.74824,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,-0.44391,0.10222,-2.6265,NaN,NaN,NaN,-1.8994,-1.6514,NaN,NaN,NaN,NaN,-0.86726,-0.94811,NaN,2.0693,NaN,NaN,NaN,-0.36981,0.10025,-0.053814,NaN,NaN,NaN,0
NaN,NaN,NaN,2.4351,2.1782,NaN,NaN,NaN,NaN,-0.47456,NaN,-1.3206,0.16125,0.98659,NaN,NaN,-0.1563,-0.073798,-2.8298,3.0536,NaN,NaN,NaN,NaN,0.45957,0.38866,NaN,NaN,NaN,0
NaN,NaN,NaN,2.1433,1.9637,1.6297,NaN,NaN,0.58113,0.58113,NaN,NaN,NaN,0.98659,0.79777,-0.81727,-1.0499,-2.1267,NaN,3.1387,0.015244,-1.3961,NaN,NaN,NaN,0.54176,NaN,NaN,NaN,0
NaN,NaN,2.1899,NaN,1.1804,NaN,1.7937,NaN,2.7964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.0982,-1.9073,-1.4368,-2.3179,-0.10884,-0.22556,-0.13143,NaN,NaN,2.6951,2.0935,NaN,NaN,0
NaN,1.617,NaN,0.40446,NaN,NaN,2.2257,1.2324,-1.2181,-0.50787,NaN,-1.8504,0.13216,0.72125,-0.1442,-1.4168,NaN,NaN,-2.8268,2.9001,0.83356,0.99775,0.24375,-2.2561,-1.7381,NaN,-2.1342,NaN,NaN,0
NaN,0.76815,NaN,-0.49533,NaN,NaN,NaN,NaN,-2.5021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.6661,-2.7016,NaN,NaN,NaN,1.0927,-2.6689,-1.7676,-2.3241,-1.2732,-2.6759,NaN,0
0.55383,0.41132,-0.28034,NaN,NaN,NaN,NaN,NaN,2.8523,-1.6684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.6586,-2.8703,2.9305,1.8711,1.7062,NaN,NaN,NaN,1.4512,0.058214,0.1802,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.6487,NaN,-1.1376,-1.4636,-1.9266,-1.7312,NaN,-2.4112,-2.6794,NaN,1.6353,1.7183,0.83077,-2.4676,1.4284,1.1655,0.77225,1.1217,1.2648,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.9266,-1.7312,-2.3228,-2.7008,-2.5779,-2.6359,0.72913,1.8283,0.95304,-2.4676,1.8171,1.0921,0.9259,1.0549,NaN,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1416,3.1416
