NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0.75594,0.60765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0.62636,0.46622,0.42119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50663,NaN,0
0.5026,0.32887,0.34093,0.13697,0.2519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32718,0.40906,NaN,0
NaN,0.18946,0.28489,NaN,0.2519,0.087423,0.11694,NaN,NaN,0.30308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.30418,0.25224,0.22039,0.22981,NaN,NaN,0
NaN,0.2216,0.29401,NaN,NaN,NaN,NaN,0.16591,0.28754,NaN,0.41688,0.29327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23504,0.24957,0.28933,0.2523,0.23605,NaN,NaN,NaN,0
NaN,NaN,0.40396,0.4629,NaN,NaN,NaN,0.16591,0.28754,0.5925,0.42899,NaN,0.019661,6.9846e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4252,0.23504,NaN,0.34693,0.34693,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.4645,NaN,NaN,NaN,0.39136,NaN,NaN,NaN,0.067846,0.063403,0.047853,0.071301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.092366,0.27395,0.29563,NaN,NaN,NaN,0.46987,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.5123,0.5123,NaN,NaN,0.22335,NaN,NaN,NaN,NaN,NaN,0.067144,0.071301,0.096047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25739,0.13647,NaN,NaN,NaN,NaN,0.46105,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.47869,NaN,NaN,0.39823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1203,0.21589,0.37481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24517,0.22212,0.29075,NaN,NaN,NaN,NaN,0.52045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.48157,0.42622,NaN,NaN,0.1678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37481,0.28643,NaN,NaN,NaN,0.30631,0.36409,0.22239,0.21043,0.22819,0.34434,NaN,NaN,NaN,0.48726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.30382,0.25658,0.18938,NaN,0.1678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32138,0.25147,0.34256,0.32457,0.42752,0.31413,0.25006,NaN,NaN,NaN,0.52624,0.53324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0.18202,0.23316,NaN,0.246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17446,0.24807,0.36087,NaN,NaN,0.50455,NaN,NaN,NaN,NaN,0.47661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0.20394,0.24418,0.30942,0.28423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24288,0.2089,0.19761,0.19649,0.36809,0.42344,0.47081,0.5752,NaN,NaN,NaN,0.094601,0.26168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,0.29869,NaN,0.34111,NaN,NaN,NaN,NaN,NaN,NaN,0.29447,0.37681,0.29649,0.17873,NaN,NaN,NaN,0.48474,0.5551,0.75763,NaN,0.14736,0.075543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.47692,0.40499,0.47355,NaN,NaN,NaN,0.34607,0.26632,0.26514,0.42167,NaN,NaN,NaN,NaN,NaN,0.46622,0.46503,0.61711,0.42285,0.25523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
