NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.7046,-2.7046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.4562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24906,-1.2969,-1.7527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,-1.2316,NaN,NaN,NaN,NaN,NaN,NaN,1.8475,NaN,-1.9817,-1.5967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,-1.2316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0926,-2.1051,-2.1449,NaN,-2.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.0183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.63309,NaN,NaN,2.6076,NaN,NaN,NaN,NaN,1.7602,1.2375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1781,-1.3381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.5837,-0.9507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,-2.432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1835,NaN,NaN,NaN,NaN,NaN,0.41595,NaN,NaN,NaN,NaN,0.9945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,-1.6523,NaN,NaN,NaN,NaN,-0.47249,NaN,1.1835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.41595,NaN,NaN,NaN,NaN,1.7313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021002,NaN,NaN,NaN,NaN,NaN,0.59775,NaN,NaN,0.68613,0.68613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,-0.30979,NaN,NaN,NaN,NaN,1.4466,NaN,2.0684,NaN,NaN,NaN,NaN,0.021002,NaN,-1.8573,NaN,NaN,NaN,NaN,NaN,NaN,0.90472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0067,NaN,NaN,NaN,NaN,NaN,NaN,-2.1505,-1.9057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1391,1.5619,NaN,NaN,-1.7109,NaN,NaN,NaN,-2.6033,NaN,-2.5079,NaN,NaN,NaN,NaN,NaN,-0.15746,-3.0837,-2.3202,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,0.69309,NaN,NaN,NaN,-1.7109,NaN,NaN,NaN,NaN,NaN,NaN,-1.5006,-2.0495,NaN,NaN,-1.4498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.684,NaN,NaN,NaN,NaN,-2.4682,-2.4293,NaN,NaN,-0.86967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.4666,NaN,-0.88338,-0.89783,-0.70161,-0.58094,NaN,2.9006,2.9006,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9986,NaN,NaN,NaN,NaN,2.7175,NaN,NaN,NaN,NaN,NaN,NaN,-1.7168,NaN,NaN,NaN,-0.18858,-0.5707,NaN,NaN,NaN,NaN,2.303,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.1511,NaN,NaN,NaN,-0.52518,NaN,NaN,1.8352,NaN,NaN,0
NaN,NaN,NaN,NaN,1.5226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.9282,NaN,NaN,-0.011047,NaN,0.8998,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1346,NaN,NaN,NaN,NaN,2.2382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2098,NaN,NaN,NaN,NaN,-0.62907,-1.0107,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.4117,NaN,NaN,NaN,NaN,NaN,-1.8806,NaN,NaN,NaN,-2.6279,-2.6279,NaN,NaN,NaN,NaN,NaN,-1.7365,NaN,NaN,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1416,3.1416
