NaN,-0.90679,NaN,NaN,NaN,-2.2511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,-0.90679,NaN,-1.7139,NaN,-2.1171,NaN,-2.5981,2.7062,NaN,1.5397,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9001,NaN,0.20483,1.5349,0.89956,NaN,NaN,NaN,0
NaN,NaN,-0.29341,NaN,NaN,NaN,3.0141,-2.5685,1.7345,-0.86074,2.5407,-2.5319,-2.3434,NaN,NaN,0
NaN,0.85064,0.85064,NaN,NaN,-1.9967,2.3829,-2.6641,1.04,-1.6621,-1.2394,-1.4979,-0.94681,-1.0114,NaN,0
NaN,-1.4124,NaN,NaN,-1.3183,-1.4862,-0.80828,NaN,-1.6276,-2.253,-1.8758,-1.9515,-1.1285,-0.82049,NaN,0
NaN,NaN,-2.1412,NaN,-0.83237,-0.54411,0.14064,-0.28936,0.57161,-1.9467,-0.60942,-0.41743,-0.16664,NaN,NaN,0
NaN,-0.89705,-1.1181,-0.68444,-0.095973,0.095332,0.32461,-0.090139,NaN,0.11415,NaN,0.68216,0.079571,0.14035,NaN,0
NaN,-2.7966,-3.0021,1.6842,1.1652,0.55054,0.80901,0.29033,1.5127,0.1276,0.89707,NaN,NaN,NaN,NaN,0
NaN,1.4833,1.9663,1.8673,1.7738,NaN,-1.6308,-1.0714,2.9493,0.24012,0.98078,0.6975,1.0023,NaN,NaN,0
2.1856,2.1573,2.2584,1.7367,2.0563,0.5608,-1.0845,-0.31921,2.1635,0.63061,NaN,0.54179,NaN,NaN,0.67074,0
NaN,1.3701,1.0776,1.204,1.4948,1.4624,1.8862,0.011477,1.3832,NaN,0.64595,NaN,NaN,NaN,NaN,0
NaN,2.0878,0.18171,0.46617,0.33809,0.5691,-0.3737,-1.2145,-1.1151,NaN,NaN,-1.3033,NaN,NaN,NaN,0
-1.1093,NaN,NaN,NaN,0.16899,0.35152,-0.52527,-1.9909,-1.4087,-2.7338,-0.83748,-1.6398,NaN,NaN,NaN,0
-2.8195,NaN,NaN,NaN,NaN,-0.23368,NaN,NaN,NaN,NaN,-1.4457,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0645,-2.0645,NaN,NaN,NaN,NaN,NaN,NaN,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1416,3.1416
