NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28665,0.31947,0.37335,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24847,0.3009,0.30141,0.32035,0.32035,NaN,0
NaN,NaN,5.5511e-17,5.5511e-17,NaN,NaN,NaN,NaN,NaN,0.39009,NaN,NaN,0.30201,0.32133,NaN,NaN,0
NaN,NaN,5.5511e-17,5.5511e-17,NaN,NaN,NaN,NaN,NaN,0.27217,NaN,0.096677,NaN,0.26184,0.28038,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3185,NaN,NaN,NaN,NaN,0.26125,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,0.20948,0.17567,0.22097,NaN,NaN,NaN,NaN,NaN,0,NaN,0
NaN,NaN,0.089888,0.19738,0.24823,0.27439,0.23043,0.23043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.18175,0.24746,NaN,NaN,0.20075,0.2293,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0
0,NaN,0.20862,0.34162,NaN,0.49033,0.3352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.182,0.21988,0.40937,0.50864,0.54274,0.50258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0.58698,NaN,0.33003,0.41654,NaN,NaN,NaN,NaN,0,NaN,NaN,0
NaN,0.47124,NaN,NaN,NaN,NaN,0.52886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
