12769	3.3508	30.028	18.83
22914	5.8892	4.6931	-2.7981
45439	3.6893	36.752	11.479
80359	0.26546	16.707	21.918
89137	0.42628	38.251	23.085
92485	0.73594	41.633	16.754
98733	5.9555	24.155	0.22437
1.1939e+05	3.8998	39.559	22.023
1.417e+05	2.3312	24.671	0.26583
1.4585e+05	0.22098	22.482	-3.4148
1.4977e+05	4.1358	22.482	-3.4148
1.5008e+05	5.0913	22.482	-3.4155
1.529e+05	2.9946	24.649	-16.591
1.584e+05	0.32621	12.791	-17.141
2.1413e+05	3.033	-11.126	17.862
2.3888e+05	1.1759	7.5174	5.7741
2.8371e+05	1.3648	43.082	23
2.9035e+05	5.4763	21.695	15.692
