NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.47156,0.48187,0.68793,0.67275,0.64487,0.64879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.48907,0.45408,NaN,NaN,NaN,NaN,NaN,0.52093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,0.0006437,0.0006437,0.00085826,NaN,NaN,0.27954,0.54127,0.60181,0.6,0.42144,NaN,NaN,NaN,0,NaN,0.28526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.33398,0.21884,0,0,0.0006437,NaN,NaN,3.7007e-17,0.23467,0.34611,0.5164,0.5382,0.49158,0.34228,0.31261,NaN,NaN,0.21583,NaN,NaN,0.067887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.48171,0.60647,0.52039,NaN,0.39688,0.49215,NaN,NaN,NaN,0.21583,NaN,0.29351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.118,NaN,NaN,NaN,NaN,NaN,NaN,0.2016,0.41198,0.51217,0.52539,0.48336,0.40493,NaN,0.5566,0.61047,NaN,NaN,0.25608,NaN,0.46476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.088209,0.079329,NaN,NaN,NaN,NaN,0.19009,0.29339,NaN,0.56217,NaN,0.44877,0.40501,NaN,NaN,0.59925,0.54512,NaN,NaN,0.30198,0.30198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.099363,0.25968,NaN,NaN,0.17916,0.28651,0.31561,0.38577,0.47948,0.47641,0.44712,NaN,NaN,NaN,NaN,0.39675,0.31711,NaN,0.19007,0.21352,0.27925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.31015,0.17772,NaN,NaN,0.27588,0.2742,0.39974,0.43153,NaN,NaN,0.1388,NaN,NaN,0.34621,0.36337,0.25271,NaN,0.11823,0.16671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.71682,0.66996,NaN,0.17772,0.15542,0.38277,NaN,0.28251,0.29114,0.34148,NaN,NaN,0.1388,NaN,NaN,NaN,NaN,0.26605,0.29957,0.34242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.61091,NaN,NaN,NaN,NaN,0.18397,0.31157,0.44098,0.39838,0.45357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3448,0.33747,0.35977,0.38375,0.46079,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.44929,NaN,NaN,NaN,NaN,0.20955,NaN,0.63122,0.58417,0.6158,0.44765,0.45566,NaN,0.5389,0.38617,NaN,NaN,NaN,NaN,0.37242,0.37193,0.35058,0.33383,0.26111,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.18332,0.34198,0.2709,0.26583,NaN,NaN,0.50703,0.54832,0.65741,NaN,NaN,0.38465,0.48622,NaN,0.33449,0.16596,NaN,NaN,NaN,0.34097,0.32919,0.38021,0.32031,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.19059,0.23477,0.13556,0.38686,0.46052,0.54815,NaN,NaN,NaN,NaN,0.49469,0.34418,NaN,0.14901,0.13615,NaN,NaN,NaN,0.42342,0.41971,0.38914,0.23018,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.16564,0.1314,NaN,NaN,0.28288,0.33651,0.43014,0.31132,0.19819,NaN,NaN,NaN,0.42901,0.42558,0.20442,0.16831,0.057303,NaN,NaN,0.44857,0.43688,0.40735,0.34756,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.17588,NaN,NaN,0.17953,0.25244,0.2789,0.45629,NaN,0.19819,NaN,0.019675,NaN,0.32279,NaN,NaN,NaN,0.23698,0.24761,NaN,NaN,0.21803,0.37374,0.43881,NaN,NaN,NaN,NaN,0
