NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.51378,0.47878,0.69276,0.54238,0.27281,0.18519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.48166,0.47409,NaN,NaN,NaN,NaN,NaN,0.18543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.46766,0.4925,0.4406,NaN,NaN,NaN,0.41747,NaN,0.18543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4894,0.4528,0.41051,0.33232,0.30864,NaN,NaN,0.50249,NaN,NaN,0.062717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44235,0.42189,0.30126,NaN,0.33165,0.40442,NaN,NaN,NaN,0.50204,NaN,0.14785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.31513,0.5439,0.48403,0.45668,0.32271,0.2653,NaN,0.32528,0.44609,NaN,NaN,NaN,0.32279,0.25366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24279,0.30067,NaN,0.44135,0.35992,0.1705,0.14193,NaN,NaN,0.41635,0.34175,NaN,NaN,0.20994,0.20521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,0.14645,0.23767,0.23889,0.33745,0.37046,0.37675,0.23242,0.11131,NaN,NaN,NaN,0.41693,0.44316,NaN,0.13538,0.22399,0.3632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.03677,0.031787,NaN,NaN,0.3584,0.33321,0.44033,0.42101,NaN,NaN,0.21486,NaN,NaN,NaN,0.35105,0.19691,0.10673,0.13071,0.16984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.23254,0.044443,NaN,NaN,NaN,0.26161,0.38068,0.38721,0.48436,0.48,NaN,NaN,0.32769,NaN,NaN,NaN,0.28956,0.18228,0.13825,0.20773,0.28573,0.36844,NaN,NaN,NaN,NaN,NaN,NaN,0
