19080	2.997	4.94	17.95
19089	4.7385	4.9018	17.926
19147	0.20085	4.6564	17.775
19155	1.7791	4.6223	17.754
19322	5.797	3.9129	17.318
19330	0.97334	3.8793	17.297
19347	3.9322	3.8081	17.253
19365	0.33919	3.7326	17.207
19439	3.7193	3.4173	17.013
19464	2.8738	3.3103	16.947
19483	4.8667	3.2297	16.898
19497	0.18891	3.1709	16.862
19506	2.0631	3.1335	16.838
19518	4.7576	3.0837	16.808
19564	4.8718	2.8886	16.688
19581	2.0791	2.8151	16.643
19583	2.5157	2.8066	16.637
19597	5.5395	2.7473	16.601
19631	5.8634	2.6073	16.515
19639	0.8836	2.5737	16.494
19647	1.4885	2.5395	16.473
19664	4.9521	2.4647	16.427
19697	3.4287	2.3241	16.341
19747	0.74186	2.1093	16.208
19750	1.3554	2.0924	16.198
19772	5.9761	1.9596	16.116
19797	4.3763	1.8293	16.036
19810	6.1683	1.7856	16.009
19814	5.9978	1.7745	16.003
19822	0.31408	1.7535	15.99
19856	0.14568	1.6324	15.915
19859	0.66878	1.6169	15.906
19897	5.8104	1.403	15.774
19906	0.68143	1.3594	15.747
19914	1.5405	1.324	15.725
19939	2.8879	1.2242	15.664
19956	6.226	1.1561	15.622
19992	0.82884	1.0027	15.528
19997	1.9527	0.98114	15.515
20014	6.0303	0.90847	15.47
20047	1.9474	0.76883	15.384
20064	5.5992	0.69705	15.34
20081	2.7149	0.62516	15.296
20085	3.5142	0.6082	15.285
20097	5.8303	0.55724	15.254
20114	2.9012	0.48483	15.209
20139	2.4282	0.37894	15.144
20176	0.63322	0.22521	15.05
20181	1.6102	0.20439	15.037
20198	5.1543	0.13275	14.993
20214	2.0582	0.063832	14.95
20248	5.5751	-0.083256	14.86
20256	1.0403	-0.11726	14.839
20273	4.5609	-0.189	14.795
20281	6.1258	-0.22272	14.774
20294	2.4626	-0.27788	14.74
20298	3.2989	-0.29498	14.73
20314	0.32941	-0.36402	14.687
20323	2.1172	-0.403	14.663
20331	3.7513	-0.43757	14.642
20348	1.1371	-0.51026	14.597
20353	2.2326	-0.53133	14.584
20364	4.5872	-0.57734	14.556
20414	3.7473	-0.78664	14.427
20439	2.2551	-0.89314	14.362
20453	4.8917	-0.95264	14.325
20456	5.4402	-0.96535	14.317
20464	0.60996	-0.9992	14.296
20487	4.6888	-1.0964	14.237
20537	0.42022	-1.3082	14.106
20578	1.2166	-1.4815	14
20590	3.3161	-1.5324	13.968
20637	5.322	-1.7342	13.844
20653	1.3472	-1.802	13.803
20656	1.6878	-1.8145	13.795
20670	3.5343	-1.8731	13.759
20687	0.26583	-1.9442	13.715
20801	0.39627	-2.4278	13.418
20923	0.68092	-2.9513	13.096
20927	1.3758	-2.967	13.086
21076	0.76562	-3.5942	12.7
21132	3.4184	-3.8309	12.554
21135	3.9369	-3.8436	12.546
21148	6.1868	-3.8992	12.513
21178	5.0006	-4.0291	12.439
21344	5.2912	-4.7886	12.117
21561	4.2931	-5.7977	11.73
21828	1.5519	-7.0381	11.254
21846	4.1391	-7.1218	11.222
21975	0.064347	-7.7225	10.991
22045	5.0942	-8.0465	10.867
22133	2.0887	-8.4572	10.709
22175	2.4404	-8.651	10.635
22185	4.1437	-8.6975	10.617
22274	1.3487	-9.1118	10.458
22279	2.2287	-9.1352	10.449
22697	0.66862	-11.078	9.7038
22880	2.7362	-11.93	9.3768
23095	4.5418	-12.927	8.9942
23325	2.514	-13.997	8.5835
23397	2.8887	-14.331	8.4556
23425	1.8852	-14.46	8.4058
23492	0.86589	-14.773	8.2857
23664	1.8878	-15.643	7.952
23686	5.5698	-15.749	7.9113
23702	1.986	-15.826	7.8818
24084	1.6993	-17.604	7.1997
24290	5.5123	-18.538	6.7916
24327	5.0345	-18.7	6.6992
24353	3.3059	-18.812	6.6343
24665	1.9331	-20.157	5.8599
24738	0.88936	-20.472	5.6787
25248	1.9722	-22.408	4.5607
25365	3.7285	-22.406	4.5535
25665	0.98055	-22.395	4.5345
25833	2.4159	-22.395	4.5343
25899	0.16751	-22.395	4.5343
25966	4.8365	-22.395	4.5343
26073	3.6118	-22.395	4.5343
26116	3.6871	-22.395	4.5343
26266	3.5878	-22.395	4.5343
26417	1.6795	-22.395	4.5343
26470	5.3645	-22.395	4.5343
26516	5.3633	-22.395	4.5343
26575	2.5416	-22.395	4.5343
26700	4.5422	-22.395	4.5343
26800	1.4492	-22.395	4.5343
26838	0.98538	-22.395	4.5343
26872	0.094745	-22.395	4.5343
27074	2.4496	-22.395	4.5343
27134	2.2314	-22.395	4.5343
27331	5.6861	-22.395	4.5343
27367	5.2005	-22.395	4.5343
27698	3.4992	-22.395	4.5343
27818	4.2762	-22.395	4.5343
28123	2.1777	-22.39	4.5343
28435	2.8319	-21.207	4.4475
28540	5.1673	-20.686	4.401
28633	1.2707	-20.225	4.36
28652	4.5195	-20.131	4.3516
28735	5.7256	-19.72	4.3149
28852	1.0138	-19.139	4.2665
28886	0.48694	-18.968	4.263
29022	1.5908	-18.297	4.3243
29036	1.9967	-18.228	4.3342
29139	0.82822	-17.72	4.4072
29340	4.977	-16.73	4.5493
29453	4.3468	-16.173	4.6292
29465	0.20995	-16.114	4.6377
29552	3.8289	-15.685	4.6992
29576	2.8722	-15.567	4.7162
29945	1.0573	-13.749	4.9771
30038	3.296	-13.291	5.0428
30537	5.9313	-10.832	5.3957
30721	2.0273	-9.9248	5.5258
30942	1.3519	-8.8348	5.6822
31078	3.232	-8.1078	5.7866
31521	5.4801	-5.9007	6.1033
31555	2.7098	-5.7329	6.1274
31778	0.9008	-4.6344	6.285
32080	5.0997	-3.1471	6.4984
32235	2.2114	-2.3838	6.608
32254	4.3869	-2.2899	6.6215
32264	5.8717	-2.2402	6.6286
32506	2.938	-1.0465	6.7999
32572	1.576	-0.72274	6.8463
32667	4.2389	-0.25402	6.9136
32747	4.9272	0.13915	6.97
32909	2.1475	0.93771	7.0846
33322	0.34793	2.9726	7.3766
33444	2.4457	3.5734	7.4628
33673	2.6941	4.702	7.6248
33779	0.89621	5.2245	7.6998
33810	5.0079	5.3778	7.7218
34023	2.8178	6.4268	7.8723
34057	2.3108	6.5944	7.8964
34105	6.091	6.8307	7.9303
34137	2.6583	6.9886	7.9529
34515	2.0961	8.8522	8.2204
34549	2.45	9.0206	8.2445
34578	1.9215	9.1609	8.2647
